# format: as|source|type
# date: 20210401
# name: as2type
# exe: type-convert-amogh.pl
# files: 20210401.merged.class.txt
# types: Content|Enterprise|Transit/Access
137|CAIDA_class|Transit/Access
138|CAIDA_class|Transit/Access
140|CAIDA_class|Enterprise
145|CAIDA_class|Transit/Access
147|CAIDA_class|Enterprise
149|CAIDA_class|Transit/Access
151|CAIDA_class|Transit/Access
153|CAIDA_class|Enterprise
154|CAIDA_class|Enterprise
156|CAIDA_class|Transit/Access
157|CAIDA_class|Transit/Access
158|CAIDA_class|Transit/Access
159|CAIDA_class|Transit/Access
160|CAIDA_class|Transit/Access
161|CAIDA_class|Transit/Access
166|CAIDA_class|Enterprise
167|CAIDA_class|Transit/Access
170|CAIDA_class|Enterprise
173|CAIDA_class|Transit/Access
174|peerDB_class|Transit/Access
186|CAIDA_class|Transit/Access
187|CAIDA_class|Transit/Access
188|CAIDA_class|Transit/Access
190|CAIDA_class|Transit/Access
194|manual_class|Enterprise
195|CAIDA_class|Transit/Access
196|CAIDA_class|Transit/Access
200|CAIDA_class|Enterprise
202|CAIDA_class|Transit/Access
203|CAIDA_class|Content
205|CAIDA_class|Transit/Access
206|CAIDA_class|Transit/Access
209|peerDB_class|Transit/Access
210|CAIDA_class|Transit/Access
213|CAIDA_class|Transit/Access
217|CAIDA_class|Transit/Access
220|CAIDA_class|Transit/Access
223|CAIDA_class|Transit/Access
224|CAIDA_class|Transit/Access
225|CAIDA_class|Transit/Access
226|CAIDA_class|Transit/Access
228|CAIDA_class|Transit/Access
229|CAIDA_class|Transit/Access
231|CAIDA_class|Transit/Access
237|CAIDA_class|Transit/Access
239|CAIDA_class|Transit/Access
243|CAIDA_class|Content
246|CAIDA_class|Transit/Access
250|CAIDA_class|Transit/Access
252|CAIDA_class|Transit/Access
257|CAIDA_class|Enterprise
260|peerDB_class|Transit/Access
264|CAIDA_class|Enterprise
267|peerDB_class|Transit/Access
270|CAIDA_class|Transit/Access
271|CAIDA_class|Transit/Access
272|CAIDA_class|Transit/Access
273|CAIDA_class|Transit/Access
275|CAIDA_class|Transit/Access
276|CAIDA_class|Transit/Access
278|CAIDA_class|Transit/Access
283|CAIDA_class|Transit/Access
286|peerDB_class|Transit/Access
288|CAIDA_class|Enterprise
289|CAIDA_class|Transit/Access
290|peerDB_class|Enterprise
291|CAIDA_class|Enterprise
292|CAIDA_class|Transit/Access
293|peerDB_class|Transit/Access
295|CAIDA_class|Enterprise
297|CAIDA_class|Transit/Access
299|CAIDA_class|Transit/Access
300|CAIDA_class|Transit/Access
302|CAIDA_class|Transit/Access
306|CAIDA_class|Transit/Access
307|CAIDA_class|Transit/Access
308|CAIDA_class|Transit/Access
309|CAIDA_class|Transit/Access
310|CAIDA_class|Transit/Access
311|CAIDA_class|Transit/Access
312|CAIDA_class|Transit/Access
313|CAIDA_class|Transit/Access
316|CAIDA_class|Transit/Access
317|CAIDA_class|Transit/Access
319|CAIDA_class|Transit/Access
320|CAIDA_class|Transit/Access
321|CAIDA_class|Transit/Access
322|CAIDA_class|Transit/Access
323|CAIDA_class|Transit/Access
324|CAIDA_class|Transit/Access
325|CAIDA_class|Transit/Access
326|CAIDA_class|Transit/Access
327|CAIDA_class|Transit/Access
328|CAIDA_class|Transit/Access
329|manual_class|Enterprise
331|CAIDA_class|Transit/Access
334|CAIDA_class|Transit/Access
335|CAIDA_class|Transit/Access
336|CAIDA_class|Transit/Access
337|CAIDA_class|Transit/Access
338|CAIDA_class|Transit/Access
339|CAIDA_class|Transit/Access
340|CAIDA_class|Transit/Access
341|CAIDA_class|Transit/Access
342|CAIDA_class|Transit/Access
343|CAIDA_class|Transit/Access
344|CAIDA_class|Transit/Access
345|CAIDA_class|Transit/Access
346|CAIDA_class|Transit/Access
347|CAIDA_class|Transit/Access
348|CAIDA_class|Transit/Access
349|CAIDA_class|Transit/Access
350|CAIDA_class|Transit/Access
351|CAIDA_class|Transit/Access
352|CAIDA_class|Transit/Access
353|CAIDA_class|Transit/Access
355|CAIDA_class|Transit/Access
356|CAIDA_class|Transit/Access
357|CAIDA_class|Transit/Access
358|CAIDA_class|Transit/Access
359|CAIDA_class|Transit/Access
360|CAIDA_class|Transit/Access
361|CAIDA_class|Transit/Access
362|CAIDA_class|Transit/Access
364|CAIDA_class|Transit/Access
365|CAIDA_class|Transit/Access
366|CAIDA_class|Transit/Access
367|CAIDA_class|Transit/Access
368|CAIDA_class|Transit/Access
369|CAIDA_class|Transit/Access
370|CAIDA_class|Transit/Access
371|CAIDA_class|Transit/Access
372|CAIDA_class|Transit/Access
375|manual_class|Enterprise
376|CAIDA_class|Transit/Access
377|CAIDA_class|Enterprise
378|CAIDA_class|Transit/Access
381|CAIDA_class|Transit/Access
383|CAIDA_class|Transit/Access
385|CAIDA_class|Transit/Access
386|CAIDA_class|Transit/Access
391|CAIDA_class|Transit/Access
399|CAIDA_class|Transit/Access
400|CAIDA_class|Enterprise
409|CAIDA_class|Transit/Access
427|CAIDA_class|Transit/Access
450|CAIDA_class|Transit/Access
452|CAIDA_class|Transit/Access
490|CAIDA_class|Transit/Access
492|CAIDA_class|Transit/Access
493|CAIDA_class|Transit/Access
494|CAIDA_class|Transit/Access
495|CAIDA_class|Transit/Access
500|CAIDA_class|Transit/Access
510|CAIDA_class|Transit/Access
511|CAIDA_class|Enterprise
513|CAIDA_class|Transit/Access
514|CAIDA_class|Enterprise
518|CAIDA_class|Transit/Access
523|CAIDA_class|Transit/Access
531|CAIDA_class|Transit/Access
542|CAIDA_class|Transit/Access
543|CAIDA_class|Transit/Access
545|CAIDA_class|Transit/Access
546|CAIDA_class|Transit/Access
547|CAIDA_class|Transit/Access
549|CAIDA_class|Transit/Access
553|CAIDA_class|Transit/Access
555|CAIDA_class|Transit/Access
557|CAIDA_class|Transit/Access
559|CAIDA_class|Transit/Access
560|CAIDA_class|Transit/Access
564|CAIDA_class|Transit/Access
565|CAIDA_class|Transit/Access
566|CAIDA_class|Transit/Access
567|CAIDA_class|Transit/Access
571|CAIDA_class|Transit/Access
572|CAIDA_class|Transit/Access
575|CAIDA_class|Transit/Access
577|peerDB_class|Transit/Access
580|CAIDA_class|Transit/Access
589|CAIDA_class|Transit/Access
600|CAIDA_class|Transit/Access
603|CAIDA_class|Transit/Access
605|CAIDA_class|Enterprise
606|CAIDA_class|Transit/Access
607|CAIDA_class|Enterprise
609|CAIDA_class|Transit/Access
611|CAIDA_class|Transit/Access
613|CAIDA_class|Transit/Access
615|CAIDA_class|Transit/Access
616|CAIDA_class|Transit/Access
619|CAIDA_class|Transit/Access
627|CAIDA_class|Transit/Access
637|CAIDA_class|Transit/Access
647|CAIDA_class|Transit/Access
664|CAIDA_class|Transit/Access
665|CAIDA_class|Transit/Access
668|CAIDA_class|Transit/Access
670|CAIDA_class|Transit/Access
671|CAIDA_class|Transit/Access
672|CAIDA_class|Transit/Access
673|CAIDA_class|Transit/Access
675|CAIDA_class|Transit/Access
676|CAIDA_class|Enterprise
679|CAIDA_class|Transit/Access
680|CAIDA_class|Content
681|CAIDA_class|Transit/Access
683|CAIDA_class|Transit/Access
684|CAIDA_class|Transit/Access
687|CAIDA_class|Transit/Access
688|CAIDA_class|Enterprise
693|CAIDA_class|Transit/Access
698|CAIDA_class|Enterprise
701|peerDB_class|Transit/Access
702|peerDB_class|Transit/Access
703|peerDB_class|Transit/Access
705|CAIDA_class|Transit/Access
706|CAIDA_class|Content
714|peerDB_class|Content
715|CAIDA_class|Transit/Access
719|peerDB_class|Transit/Access
721|CAIDA_class|Transit/Access
722|CAIDA_class|Transit/Access
724|CAIDA_class|Transit/Access
744|CAIDA_class|Enterprise
745|CAIDA_class|Transit/Access
747|CAIDA_class|Transit/Access
748|CAIDA_class|Transit/Access
760|CAIDA_class|Transit/Access
764|CAIDA_class|Transit/Access
766|CAIDA_class|Transit/Access
773|CAIDA_class|Transit/Access
775|CAIDA_class|Transit/Access
776|CAIDA_class|Transit/Access
777|CAIDA_class|Transit/Access
781|CAIDA_class|Enterprise
782|CAIDA_class|Transit/Access
784|CAIDA_class|Transit/Access
786|CAIDA_class|Content
789|CAIDA_class|Content
792|CAIDA_class|Transit/Access
793|CAIDA_class|Enterprise
797|CAIDA_class|Transit/Access
800|peerDB_class|Transit/Access
802|CAIDA_class|Transit/Access
803|peerDB_class|Transit/Access
806|CAIDA_class|Content
808|CAIDA_class|Transit/Access
812|peerDB_class|Transit/Access
813|CAIDA_class|Enterprise
818|CAIDA_class|Transit/Access
819|CAIDA_class|Transit/Access
820|CAIDA_class|Content
822|CAIDA_class|Transit/Access
823|CAIDA_class|Transit/Access
837|CAIDA_class|Enterprise
841|CAIDA_class|Transit/Access
852|peerDB_class|Transit/Access
855|peerDB_class|Transit/Access
940|CAIDA_class|Transit/Access
1007|CAIDA_class|Transit/Access
1013|CAIDA_class|Enterprise
1030|CAIDA_class|Transit/Access
1032|CAIDA_class|Transit/Access
1100|CAIDA_class|Transit/Access
1101|CAIDA_class|Transit/Access
1102|CAIDA_class|Transit/Access
1103|CAIDA_class|Transit/Access
1104|CAIDA_class|Transit/Access
1109|CAIDA_class|Transit/Access
1110|CAIDA_class|Transit/Access
1111|CAIDA_class|Transit/Access
1112|CAIDA_class|Enterprise
1113|CAIDA_class|Transit/Access
1114|CAIDA_class|Transit/Access
1115|CAIDA_class|Transit/Access
1117|CAIDA_class|Transit/Access
1120|CAIDA_class|Transit/Access
1124|manual_class|Enterprise
1125|CAIDA_class|Transit/Access
1126|peerDB_class|Transit/Access
1128|CAIDA_class|Transit/Access
1132|CAIDA_class|Transit/Access
1133|CAIDA_class|Transit/Access
1136|peerDB_class|Transit/Access
1140|CAIDA_class|Transit/Access
1142|CAIDA_class|Content
1145|CAIDA_class|Enterprise
1146|CAIDA_class|Enterprise
1147|CAIDA_class|Transit/Access
1149|CAIDA_class|Transit/Access
1161|CAIDA_class|Transit/Access
1197|CAIDA_class|Transit/Access
1199|CAIDA_class|Transit/Access
1201|CAIDA_class|Transit/Access
1204|CAIDA_class|Enterprise
1205|CAIDA_class|Transit/Access
1206|CAIDA_class|Transit/Access
1207|CAIDA_class|Transit/Access
1208|CAIDA_class|Transit/Access
1213|CAIDA_class|Transit/Access
1215|CAIDA_class|Transit/Access
1216|CAIDA_class|Transit/Access
1217|CAIDA_class|Transit/Access
1218|CAIDA_class|Content
1219|CAIDA_class|Enterprise
1221|CAIDA_class|Transit/Access
1222|CAIDA_class|Enterprise
1224|CAIDA_class|Transit/Access
1225|CAIDA_class|Transit/Access
1226|CAIDA_class|Transit/Access
1234|CAIDA_class|Transit/Access
1236|manual_class|Enterprise
1237|CAIDA_class|Transit/Access
1239|peerDB_class|Transit/Access
1241|peerDB_class|Transit/Access
1246|CAIDA_class|Transit/Access
1248|peerDB_class|Enterprise
1249|CAIDA_class|Transit/Access
1251|CAIDA_class|Transit/Access
1252|CAIDA_class|Transit/Access
1254|CAIDA_class|Transit/Access
1256|CAIDA_class|Transit/Access
1257|peerDB_class|Transit/Access
1258|CAIDA_class|Enterprise
1261|CAIDA_class|Enterprise
1265|CAIDA_class|Transit/Access
1267|peerDB_class|Transit/Access
1270|CAIDA_class|Transit/Access
1273|peerDB_class|Transit/Access
1277|CAIDA_class|Transit/Access
1280|CAIDA_class|Transit/Access
1286|CAIDA_class|Transit/Access
1287|CAIDA_class|Enterprise
1289|CAIDA_class|Transit/Access
1290|peerDB_class|Transit/Access
1293|CAIDA_class|Transit/Access
1294|CAIDA_class|Content
1299|peerDB_class|Transit/Access
1301|CAIDA_class|Content
1303|CAIDA_class|Transit/Access
1307|CAIDA_class|Transit/Access
1311|CAIDA_class|Transit/Access
1312|CAIDA_class|Transit/Access
1313|CAIDA_class|Content
1315|CAIDA_class|Enterprise
1321|CAIDA_class|Transit/Access
1323|CAIDA_class|Enterprise
1325|CAIDA_class|Transit/Access
1326|CAIDA_class|Transit/Access
1331|CAIDA_class|Transit/Access
1339|CAIDA_class|Transit/Access
1341|CAIDA_class|Enterprise
1342|peerDB_class|Content
1343|CAIDA_class|Transit/Access
1347|CAIDA_class|Transit/Access
1348|CAIDA_class|Transit/Access
1350|CAIDA_class|Transit/Access
1351|CAIDA_class|Transit/Access
1355|CAIDA_class|Transit/Access
1358|CAIDA_class|Enterprise
1360|CAIDA_class|Transit/Access
1378|CAIDA_class|Transit/Access
1379|CAIDA_class|Transit/Access
1380|CAIDA_class|Enterprise
1382|CAIDA_class|Enterprise
1383|CAIDA_class|Transit/Access
1387|CAIDA_class|Transit/Access
1395|CAIDA_class|Transit/Access
1399|CAIDA_class|Content
1401|CAIDA_class|Transit/Access
1403|peerDB_class|Transit/Access
1405|CAIDA_class|Enterprise
1406|peerDB_class|Content
1407|CAIDA_class|Enterprise
1408|peerDB_class|Content
1409|CAIDA_class|Enterprise
1410|peerDB_class|Transit/Access
1411|CAIDA_class|Transit/Access
1412|CAIDA_class|Content
1414|CAIDA_class|Enterprise
1415|CAIDA_class|Transit/Access
1416|CAIDA_class|Transit/Access
1419|CAIDA_class|Enterprise
1420|CAIDA_class|Transit/Access
1421|CAIDA_class|Transit/Access
1422|peerDB_class|Enterprise
1423|peerDB_class|Transit/Access
1426|CAIDA_class|Transit/Access
1427|CAIDA_class|Transit/Access
1428|CAIDA_class|Enterprise
1430|CAIDA_class|Enterprise
1432|CAIDA_class|Transit/Access
1435|CAIDA_class|Enterprise
1436|CAIDA_class|Transit/Access
1437|CAIDA_class|Transit/Access
1438|CAIDA_class|Transit/Access
1439|CAIDA_class|Transit/Access
1440|manual_class|Enterprise
1441|CAIDA_class|Transit/Access
1442|CAIDA_class|Enterprise
1443|CAIDA_class|Transit/Access
1444|CAIDA_class|Transit/Access
1445|CAIDA_class|Transit/Access
1446|CAIDA_class|Transit/Access
1447|CAIDA_class|Transit/Access
1448|peerDB_class|Transit/Access
1449|CAIDA_class|Content
1451|CAIDA_class|Transit/Access
1452|CAIDA_class|Transit/Access
1453|CAIDA_class|Transit/Access
1457|CAIDA_class|Transit/Access
1458|CAIDA_class|Transit/Access
1460|CAIDA_class|Transit/Access
1461|CAIDA_class|Transit/Access
1462|CAIDA_class|Transit/Access
1463|CAIDA_class|Transit/Access
1464|CAIDA_class|Transit/Access
1466|CAIDA_class|Transit/Access
1467|manual_class|Enterprise
1468|CAIDA_class|Transit/Access
1471|CAIDA_class|Transit/Access
1472|CAIDA_class|Transit/Access
1474|CAIDA_class|Transit/Access
1475|CAIDA_class|Transit/Access
1476|CAIDA_class|Transit/Access
1477|CAIDA_class|Transit/Access
1479|CAIDA_class|Transit/Access
1480|CAIDA_class|Transit/Access
1482|CAIDA_class|Transit/Access
1483|CAIDA_class|Transit/Access
1484|CAIDA_class|Transit/Access
1488|CAIDA_class|Transit/Access
1489|CAIDA_class|Transit/Access
1491|CAIDA_class|Transit/Access
1493|CAIDA_class|Transit/Access
1494|CAIDA_class|Transit/Access
1495|CAIDA_class|Transit/Access
1498|CAIDA_class|Transit/Access
1500|CAIDA_class|Transit/Access
1501|CAIDA_class|Transit/Access
1502|CAIDA_class|Transit/Access
1503|CAIDA_class|Transit/Access
1505|CAIDA_class|Transit/Access
1506|CAIDA_class|Transit/Access
1508|CAIDA_class|Enterprise
1509|CAIDA_class|Transit/Access
1510|CAIDA_class|Transit/Access
1511|CAIDA_class|Transit/Access
1515|CAIDA_class|Transit/Access
1516|CAIDA_class|Transit/Access
1519|CAIDA_class|Transit/Access
1524|CAIDA_class|Transit/Access
1525|CAIDA_class|Transit/Access
1526|CAIDA_class|Transit/Access
1527|CAIDA_class|Transit/Access
1528|CAIDA_class|Transit/Access
1530|CAIDA_class|Transit/Access
1531|CAIDA_class|Transit/Access
1533|CAIDA_class|Transit/Access
1535|CAIDA_class|Transit/Access
1536|CAIDA_class|Transit/Access
1537|CAIDA_class|Transit/Access
1538|CAIDA_class|Transit/Access
1539|manual_class|Enterprise
1540|CAIDA_class|Transit/Access
1541|CAIDA_class|Transit/Access
1547|peerDB_class|Transit/Access
1551|CAIDA_class|Transit/Access
1553|CAIDA_class|Transit/Access
1554|CAIDA_class|Transit/Access
1555|CAIDA_class|Transit/Access
1556|CAIDA_class|Transit/Access
1559|CAIDA_class|Transit/Access
1562|CAIDA_class|Transit/Access
1563|CAIDA_class|Transit/Access
1565|CAIDA_class|Transit/Access
1566|CAIDA_class|Transit/Access
1567|CAIDA_class|Transit/Access
1568|CAIDA_class|Transit/Access
1569|CAIDA_class|Transit/Access
1580|CAIDA_class|Transit/Access
1585|CAIDA_class|Transit/Access
1586|CAIDA_class|Transit/Access
1590|CAIDA_class|Transit/Access
1598|CAIDA_class|Transit/Access
1599|CAIDA_class|Transit/Access
1600|CAIDA_class|Transit/Access
1602|CAIDA_class|Transit/Access
1603|CAIDA_class|Transit/Access
1604|CAIDA_class|Enterprise
1605|CAIDA_class|Transit/Access
1606|CAIDA_class|Transit/Access
1608|CAIDA_class|Enterprise
1609|CAIDA_class|Transit/Access
1610|CAIDA_class|Transit/Access
1611|CAIDA_class|Transit/Access
1612|CAIDA_class|Transit/Access
1614|CAIDA_class|Transit/Access
1615|CAIDA_class|Enterprise
1616|CAIDA_class|Transit/Access
1617|CAIDA_class|Enterprise
1620|CAIDA_class|Enterprise
1621|CAIDA_class|Transit/Access
1622|CAIDA_class|Enterprise
1624|CAIDA_class|Enterprise
1625|CAIDA_class|Transit/Access
1627|CAIDA_class|Enterprise
1628|CAIDA_class|Enterprise
1631|CAIDA_class|Enterprise
1632|CAIDA_class|Transit/Access
1633|CAIDA_class|Transit/Access
1634|CAIDA_class|Enterprise
1635|CAIDA_class|Transit/Access
1636|CAIDA_class|Transit/Access
1637|CAIDA_class|Transit/Access
1638|CAIDA_class|Transit/Access
1640|peerDB_class|Transit/Access
1641|CAIDA_class|Transit/Access
1642|manual_class|Enterprise
1643|CAIDA_class|Transit/Access
1645|peerDB_class|Enterprise
1646|CAIDA_class|Enterprise
1647|CAIDA_class|Transit/Access
1648|CAIDA_class|Transit/Access
1649|CAIDA_class|Transit/Access
1650|CAIDA_class|Enterprise
1651|CAIDA_class|Transit/Access
1652|CAIDA_class|Enterprise
1653|CAIDA_class|Transit/Access
1654|CAIDA_class|Enterprise
1657|CAIDA_class|Transit/Access
1659|CAIDA_class|Transit/Access
1661|CAIDA_class|Transit/Access
1663|CAIDA_class|Transit/Access
1672|CAIDA_class|Transit/Access
1676|manual_class|Enterprise
1678|CAIDA_class|Transit/Access
1680|peerDB_class|Transit/Access
1689|CAIDA_class|Transit/Access
1696|CAIDA_class|Transit/Access
1699|CAIDA_class|Transit/Access
1700|CAIDA_class|Enterprise
1701|CAIDA_class|Transit/Access
1702|manual_class|Enterprise
1704|CAIDA_class|Transit/Access
1705|manual_class|Enterprise
1706|CAIDA_class|Transit/Access
1710|CAIDA_class|Enterprise
1712|CAIDA_class|Transit/Access
1715|CAIDA_class|Transit/Access
1724|CAIDA_class|Enterprise
1729|CAIDA_class|Transit/Access
1730|CAIDA_class|Transit/Access
1733|CAIDA_class|Transit/Access
1734|CAIDA_class|Transit/Access
1736|CAIDA_class|Transit/Access
1738|CAIDA_class|Enterprise
1739|CAIDA_class|Transit/Access
1741|CAIDA_class|Transit/Access
1742|CAIDA_class|Transit/Access
1746|CAIDA_class|Enterprise
1747|CAIDA_class|Transit/Access
1751|CAIDA_class|Enterprise
1754|CAIDA_class|Transit/Access
1756|CAIDA_class|Transit/Access
1757|CAIDA_class|Content
1759|peerDB_class|Transit/Access
1761|CAIDA_class|Transit/Access
1764|peerDB_class|Transit/Access
1766|CAIDA_class|Content
1767|CAIDA_class|Transit/Access
1770|CAIDA_class|Transit/Access
1771|CAIDA_class|Transit/Access
1772|CAIDA_class|Transit/Access
1776|CAIDA_class|Transit/Access
1777|CAIDA_class|Transit/Access
1778|CAIDA_class|Transit/Access
1781|CAIDA_class|Transit/Access
1782|CAIDA_class|Enterprise
1785|peerDB_class|Transit/Access
1786|CAIDA_class|Enterprise
1789|CAIDA_class|Transit/Access
1790|CAIDA_class|Transit/Access
1796|CAIDA_class|Enterprise
1797|CAIDA_class|Transit/Access
1798|CAIDA_class|Content
1803|CAIDA_class|Transit/Access
1809|CAIDA_class|Enterprise
1818|CAIDA_class|Transit/Access
1819|CAIDA_class|Transit/Access
1820|peerDB_class|Transit/Access
1821|CAIDA_class|Transit/Access
1823|CAIDA_class|Transit/Access
1824|CAIDA_class|Enterprise
1825|CAIDA_class|Enterprise
1826|CAIDA_class|Transit/Access
1827|CAIDA_class|Transit/Access
1828|peerDB_class|Enterprise
1830|CAIDA_class|Transit/Access
1831|CAIDA_class|Enterprise
1832|manual_class|Enterprise
1835|CAIDA_class|Transit/Access
1836|peerDB_class|Transit/Access
1837|CAIDA_class|Transit/Access
1840|CAIDA_class|Transit/Access
1842|CAIDA_class|Transit/Access
1843|CAIDA_class|Transit/Access
1848|CAIDA_class|Transit/Access
1850|peerDB_class|Enterprise
1851|CAIDA_class|Transit/Access
1852|CAIDA_class|Enterprise
1853|CAIDA_class|Transit/Access
1874|CAIDA_class|Transit/Access
1878|CAIDA_class|Transit/Access
1880|CAIDA_class|Transit/Access
1881|CAIDA_class|Transit/Access
1886|CAIDA_class|Transit/Access
1887|CAIDA_class|Transit/Access
1888|CAIDA_class|Enterprise
1898|CAIDA_class|Transit/Access
1901|CAIDA_class|Transit/Access
1902|CAIDA_class|Transit/Access
1904|CAIDA_class|Transit/Access
1906|CAIDA_class|Transit/Access
1907|CAIDA_class|Transit/Access
1908|CAIDA_class|Enterprise
1909|CAIDA_class|Transit/Access
1911|CAIDA_class|Transit/Access
1913|CAIDA_class|Transit/Access
1916|CAIDA_class|Transit/Access
1921|peerDB_class|Content
1929|CAIDA_class|Transit/Access
1930|CAIDA_class|Transit/Access
1931|CAIDA_class|Transit/Access
1932|CAIDA_class|Content
1935|CAIDA_class|Content
1936|CAIDA_class|Transit/Access
1938|CAIDA_class|Enterprise
1942|CAIDA_class|Transit/Access
1945|CAIDA_class|Transit/Access
1955|CAIDA_class|Transit/Access
1956|CAIDA_class|Enterprise
1959|CAIDA_class|Transit/Access
1965|CAIDA_class|Transit/Access
1967|CAIDA_class|Transit/Access
1968|CAIDA_class|Transit/Access
1970|CAIDA_class|Transit/Access
1974|CAIDA_class|Transit/Access
1975|CAIDA_class|Transit/Access
1982|peerDB_class|Transit/Access
1996|CAIDA_class|Transit/Access
1998|CAIDA_class|Transit/Access
1999|CAIDA_class|Enterprise
2002|CAIDA_class|Transit/Access
2003|CAIDA_class|Transit/Access
2004|CAIDA_class|Enterprise
2011|CAIDA_class|Transit/Access
2012|CAIDA_class|Transit/Access
2013|CAIDA_class|Enterprise
2015|CAIDA_class|Transit/Access
2018|CAIDA_class|Transit/Access
2020|CAIDA_class|Enterprise
2021|CAIDA_class|Transit/Access
2024|CAIDA_class|Enterprise
2025|CAIDA_class|Transit/Access
2030|CAIDA_class|Transit/Access
2031|CAIDA_class|Enterprise
2033|CAIDA_class|Content
2036|CAIDA_class|Transit/Access
2037|CAIDA_class|Transit/Access
2041|CAIDA_class|Transit/Access
2042|CAIDA_class|Transit/Access
2044|peerDB_class|Transit/Access
2046|CAIDA_class|Transit/Access
2047|peerDB_class|Enterprise
2048|CAIDA_class|Transit/Access
2055|CAIDA_class|Transit/Access
2060|CAIDA_class|Transit/Access
2065|CAIDA_class|Transit/Access
2067|CAIDA_class|Transit/Access
2072|CAIDA_class|Transit/Access
2088|CAIDA_class|Transit/Access
2089|CAIDA_class|Transit/Access
2094|CAIDA_class|Transit/Access
2096|CAIDA_class|Transit/Access
2103|CAIDA_class|Enterprise
2107|CAIDA_class|Transit/Access
2108|CAIDA_class|Transit/Access
2110|peerDB_class|Transit/Access
2111|CAIDA_class|Transit/Access
2114|CAIDA_class|Enterprise
2115|CAIDA_class|Transit/Access
2116|peerDB_class|Transit/Access
2118|CAIDA_class|Transit/Access
2119|peerDB_class|Transit/Access
2121|CAIDA_class|Transit/Access
2128|CAIDA_class|Transit/Access
2129|CAIDA_class|Enterprise
2134|peerDB_class|Enterprise
2140|CAIDA_class|Transit/Access
2143|CAIDA_class|Transit/Access
2147|CAIDA_class|Transit/Access
2148|CAIDA_class|Transit/Access
2149|CAIDA_class|Enterprise
2152|CAIDA_class|Transit/Access
2153|CAIDA_class|Transit/Access
2158|CAIDA_class|Transit/Access
2159|CAIDA_class|Transit/Access
2160|CAIDA_class|Transit/Access
2161|CAIDA_class|Transit/Access
2162|CAIDA_class|Transit/Access
2164|CAIDA_class|Transit/Access
2165|manual_class|Enterprise
2166|CAIDA_class|Content
2173|CAIDA_class|Enterprise
2187|CAIDA_class|Transit/Access
2198|CAIDA_class|Enterprise
2199|CAIDA_class|Enterprise
2200|CAIDA_class|Transit/Access
2202|CAIDA_class|Transit/Access
